Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Managers,Year,Wins
CHW,1650821,20381,27.7,27.4,97,98,0,3,5,87475500.00,3:08,Ventura,2014,73
CIN,2476664,30576,29,28,100,100,0,5,10,102230000.00,3:03,Price,2014,76
CLE,1437393,17746,28.5,27.2,103,102,0,1,7,73509399.00,3:12,Francona,2014,85
COL,2680329,33090,27.4,28.5,116,116,0,2,8,95403500.00,3:12,Weiss,2014,66
DET,2917209,36015,29.7,28.5,101,101,0,4,13,169135500.00,3:14,Ausmus,2014,90
HOU,1751829,21628,25.7,27.9,100,101,0,1,3,44736800.00,3:10,Porter and Lawless,2014,70
KCR,1956482,24154,28.3,28.9,104,103,0,3,13,89804075.00,3:02,Yost,2014,89
LAA,3095935,38221,29.3,28.4,95,94,0,2,13,128667000.00,3:15,Scioscia,2014,98
LAD,3782337,46696,29.3,29.9,96,95,0,4,18,230814600.00,3:14,Mattingly,2014,94
MIA,1732283,21386,27.4,26.4,100,101,0,2,7,42365400.00,3:05,Redmond,2014,77
MIL,2797384,34536,28.8,29,103,103,0,4,10,109567000.00,3:07,Roenicke,2014,82
MIN,2250606,27785,27.6,29.2,102,102,0,2,7,87044000.00,3:07,Gardenhire,2014,70
NYM,2148808,26528,28.4,28.9,94,94,0,1,8,82663615.00,3:08,Collins,2014,79
NYY,3401624,41995,32.5,29.3,100,100,0,3,18,258118959.00,3:12,Girardi,2014,84
OAK,2003628,24736,29.5,28.2,98,97,0,6,14,89160900.00,3:05,Melvin,2014,88
PHI,2423852,29924,30.8,30.1,101,102,0,1,12,176444967.00,3:09,Sandberg,2014,73
PIT,2442564,30155,27.3,28.1,99,98,0,3,12,80729000.00,3:09,Hurdle,2014,88
SDP,2195373,27103,27.9,28.8,92,92,0,2,5,76662100.00,3:01,Black,2014,77
SEA,2064334,25486,27.6,29,95,95,0,4,8,95471000.00,2:59,McClendon,2014,87
SFG,3368697,41589,28.6,31.7,95,94,0,3,14,163510167.00,3:05,Bochy,2014,88
STL,3540649,43712,28.6,27.2,100,99,0,4,15,129932500.00,3:03,Matheny,2014,90
TBR,1446464,17858,29.3,28.4,97,97,0,1,9,77814300.00,3:19,Maddon,2014,77
TEX,2718733,33565,28.4,27.9,104,104,0,2,12,129801239.00,3:06,Washington and Bogar,2014,67
TOR,2375525,29327,29.2,29.6,100,99,0,3,9,136466200.00,3:01,Gibbons,2014,83
WSN,2579389,31844,28.8,28.3,104,102,0,2,12,137235080.00,3:05,Williams,2014,96
ARI,2080145,25681,26.6,27.1,103,104,0,2,5,64434000.00,3:10,Hale,2015,79
ATL,2001392,24709,28.8,26.6,95,96,0,1,10,104037500.00,2:55,Gonzalez,2015,67
BAL,2281202,29246,27.9,28.3,103,103,0,4,10,112989833.00,2:55,Showalter,2015,81
BOS,2880694,35564,28.4,28.6,106,107,0,1,15,183931900.00,3:06,Farrell,2015,78
CHC,2959812,36541,26.9,29.3,100,100,0,2,11,115306610.00,3:02,Maddon,2015,97
CHW,1755810,21677,28.2,27.8,96,97,0,1,8,112889700.00,3:00,Ventura,2015,76
CIN,2419506,29870,29.5,27.3,100,101,0,2,9,111572286.00,3:02,Price,2015,64
CLE,1388905,17361,27.9,27.3,106,106,0,1,5,59163766.00,3:00,Francona,2015,81
COL,2506789,30948,28,28.7,118,119,0,3,7,96438600.00,3:06,Weiss,2015,68
DET,2726048,33655,28.3,28.7,98,98,0,4,14,172284750.00,3:09,Ausmus,2015,74
HOU,2153585,26587,26.6,29.4,100,100,0,2,7,93256200.00,3:03,Hinch,2015,86
KCR,2708549,33439,29.2,30,103,103,0,7,14,121590475.00,3:00,Yost,2015,95
LAA,3012765,37195,28.7,28.3,94,93,0,3,10,131522500.00,3:00,Scioscia,2015,85
LAD,3764815,46479,29.5,28.1,96,95,0,5,12,265140000.00,3:03,Mattingly,2015,92
MIA,1752235,21633,27.9,27.3,98,99,0,2,7,70031500.00,2:51,Redmond and Jennings,2015,71
MIL,2542558,31390,28.1,28.4,101,101,0,2,7,70869500.00,3:01,Roenicke and Counsell,2015,68
